Dataset,Downloads,Task Count,Task Names
hails/mmlu_no_train,140066,456,mmlu_college_physics; mmlu_college_biology; mmlu_astronomy; mmlu_jurisprudence; mmlu_us_foreign_policy; mmlu_elementary_mathematics; mmlu_abstract_algebra; mmlu_college_medicine; mmlu_high_school_macroeconomics; mmlu_clinical_knowledge; mmlu_formal_logic; mmlu_professional_accounting; mmlu_high_school_computer_science; mmlu_nutrition; mmlu_philosophy; mmlu_marketing; mmlu_high_school_biology; mmlu_high_school_physics; mmlu_human_sexuality; mmlu_professional_medicine; mmlu_business_ethics; mmlu_electrical_engineering; mmlu_anatomy; mmlu_security_studies; mmlu_high_school_european_history; mmlu_medical_genetics; mmlu_logical_fallacies; mmlu_moral_scenarios; mmlu_public_relations; mmlu_global_facts; mmlu_miscellaneous; mmlu_human_aging; mmlu_high_school_geography; mmlu_moral_disputes; mmlu_high_school_world_history; mmlu_high_school_mathematics; mmlu_high_school_microeconomics; mmlu_conceptual_physics; mmlu_machine_learning; mmlu_high_school_government_and_politics; mmlu_college_computer_science; mmlu_high_school_psychology; mmlu_high_school_us_history; mmlu_college_mathematics; mmlu_high_school_chemistry; mmlu_international_law; mmlu_computer_security; mmlu_virology; mmlu_professional_psychology; mmlu_world_religions; mmlu_professional_law; mmlu_prehistory; mmlu_high_school_statistics; mmlu_management; mmlu_sociology; mmlu_college_chemistry; mmlu_econometrics; mmlu_llama_high_school_computer_science; mmlu_llama_high_school_european_history; mmlu_llama_high_school_geography; mmlu_llama_world_religions; mmlu_llama_medical_genetics; mmlu_llama_astronomy; mmlu_llama_security_studies; mmlu_llama_abstract_algebra; mmlu_llama_college_biology; mmlu_llama_college_physics; mmlu_llama_jurisprudence; mmlu_llama_college_medicine; mmlu_llama_clinical_knowledge; mmlu_llama_moral_scenarios; mmlu_llama_high_school_mathematics; mmlu_llama_moral_disputes; mmlu_llama_philosophy; mmlu_llama_high_school_microeconomics; mmlu_llama_marketing; mmlu_llama_formal_logic; mmlu_flan_cot_fewshot_college_biology; mmlu_llama_logical_fallacies; mmlu_llama_anatomy; mmlu_llama_electrical_engineering; mmlu_llama_business_ethics; mmlu_llama_professional_medicine; mmlu_llama_human_sexuality; mmlu_llama_high_school_physics; mmlu_llama_high_school_biology; mmlu_llama_nutrition; mmlu_llama_computer_security; mmlu_llama_us_foreign_policy; mmlu_llama_professional_law; mmlu_llama_professional_accounting; mmlu_llama_virology; mmlu_llama_high_school_world_history; mmlu_llama_high_school_government_and_politics; mmlu_llama_high_school_psychology; mmlu_llama_human_aging; mmlu_llama_high_school_us_history; mmlu_llama_international_law; mmlu_llama_college_computer_science; mmlu_llama_conceptual_physics; mmlu_llama_miscellaneous; mmlu_llama_global_facts; mmlu_flan_cot_fewshot_prehistory; mmlu_llama_elementary_mathematics; mmlu_flan_cot_fewshot_econometrics; mmlu_flan_cot_fewshot_high_school_european_history; mmlu_flan_cot_fewshot_world_religions; mmlu_flan_cot_fewshot_high_school_world_history; mmlu_flan_cot_fewshot_high_school_government_and_politics; mmlu_llama_professional_psychology; mmlu_llama_high_school_statistics; mmlu_llama_college_chemistry; mmlu_llama_sociology; mmlu_llama_management; mmlu_llama_econometrics; mmlu_llama_prehistory; mmlu_flan_cot_zeroshot_virology; mmlu_flan_cot_fewshot_management; mmlu_llama_public_relations; mmlu_flan_cot_fewshot_sociology; mmlu_flan_cot_fewshot_college_chemistry; mmlu_flan_cot_fewshot_high_school_statistics; mmlu_flan_cot_fewshot_professional_psychology; mmlu_flan_cot_fewshot_machine_learning; mmlu_flan_cot_fewshot_high_school_chemistry; mmlu_flan_cot_fewshot_college_mathematics; mmlu_flan_cot_fewshot_high_school_geography; mmlu_flan_cot_fewshot_moral_disputes; mmlu_flan_cot_fewshot_high_school_mathematics; mmlu_flan_cot_fewshot_high_school_microeconomics; mmlu_flan_cot_fewshot_computer_security; mmlu_flan_cot_fewshot_miscellaneous; mmlu_flan_cot_fewshot_jurisprudence; mmlu_flan_cot_fewshot_college_medicine; mmlu_flan_cot_fewshot_clinical_knowledge; mmlu_llama_high_school_macroeconomics; mmlu_llama_college_mathematics; mmlu_llama_high_school_chemistry; mmlu_llama_machine_learning; mmlu_flan_cot_fewshot_professional_law; mmlu_flan_cot_fewshot_us_foreign_policy; mmlu_flan_cot_fewshot_nutrition; mmlu_flan_cot_fewshot_philosophy; mmlu_flan_cot_fewshot_marketing; mmlu_flan_cot_fewshot_high_school_biology; mmlu_flan_cot_fewshot_high_school_physics; mmlu_flan_cot_fewshot_human_sexuality; mmlu_flan_cot_fewshot_professional_medicine; mmlu_flan_cot_fewshot_business_ethics; mmlu_flan_cot_fewshot_electrical_engineering; mmlu_flan_cot_fewshot_anatomy; mmlu_flan_cot_fewshot_logical_fallacies; mmlu_flan_cot_fewshot_virology; mmlu_flan_cot_fewshot_professional_accounting; mmlu_flan_cot_fewshot_security_studies; mmlu_flan_cot_fewshot_high_school_computer_science; mmlu_flan_cot_fewshot_public_relations; mmlu_flan_cot_fewshot_elementary_mathematics; mmlu_flan_cot_fewshot_formal_logic; mmlu_flan_cot_fewshot_global_facts; mmlu_flan_cot_fewshot_medical_genetics; mmlu_flan_cot_fewshot_moral_scenarios; mmlu_flan_cot_zeroshot_professional_law; mmlu_flan_cot_zeroshot_marketing; mmlu_flan_cot_zeroshot_world_religions; mmlu_continuation_high_school_macroeconomics; mmlu_flan_cot_zeroshot_high_school_world_history; mmlu_flan_cot_zeroshot_high_school_chemistry; mmlu_flan_cot_zeroshot_philosophy; mmlu_flan_cot_zeroshot_nutrition; mmlu_flan_cot_zeroshot_us_foreign_policy; mmlu_flan_cot_fewshot_abstract_algebra; mmlu_flan_cot_fewshot_high_school_macroeconomics; mmlu_flan_cot_zeroshot_prehistory; mmlu_flan_cot_zeroshot_econometrics; mmlu_flan_cot_zeroshot_management; mmlu_flan_cot_zeroshot_sociology; mmlu_flan_cot_zeroshot_college_chemistry; mmlu_flan_cot_zeroshot_high_school_statistics; mmlu_flan_cot_zeroshot_professional_psychology; mmlu_flan_cot_zeroshot_machine_learning; mmlu_flan_cot_zeroshot_college_mathematics; mmlu_flan_cot_zeroshot_high_school_geography; mmlu_flan_cot_zeroshot_moral_disputes; mmlu_flan_cot_zeroshot_high_school_mathematics; mmlu_flan_cot_zeroshot_high_school_microeconomics; mmlu_flan_cot_zeroshot_computer_security; mmlu_flan_cot_zeroshot_miscellaneous; mmlu_flan_cot_zeroshot_conceptual_physics; mmlu_flan_cot_zeroshot_college_computer_science; mmlu_flan_cot_zeroshot_international_law; mmlu_flan_cot_zeroshot_high_school_us_history; mmlu_flan_cot_zeroshot_human_aging; mmlu_flan_cot_zeroshot_high_school_psychology; mmlu_flan_cot_zeroshot_high_school_government_and_politics; mmlu_flan_cot_zeroshot_global_facts; mmlu_econometrics_generative; mmlu_prehistory_generative; mmlu_flan_n_shot_generative_prehistory; mmlu_flan_cot_fewshot_college_physics; mmlu_flan_cot_fewshot_astronomy; mmlu_flan_cot_zeroshot_high_school_biology; mmlu_flan_cot_zeroshot_high_school_physics; mmlu_flan_cot_zeroshot_human_sexuality; mmlu_flan_cot_zeroshot_professional_medicine; mmlu_flan_cot_zeroshot_business_ethics; mmlu_flan_cot_zeroshot_electrical_engineering; mmlu_flan_cot_zeroshot_anatomy; mmlu_flan_cot_zeroshot_logical_fallacies; mmlu_flan_cot_zeroshot_professional_accounting; mmlu_flan_cot_zeroshot_high_school_european_history; mmlu_flan_cot_zeroshot_security_studies; mmlu_flan_cot_zeroshot_high_school_computer_science; mmlu_flan_cot_zeroshot_public_relations; mmlu_flan_cot_fewshot_international_law; mmlu_flan_cot_zeroshot_elementary_mathematics; mmlu_flan_cot_zeroshot_medical_genetics; mmlu_flan_cot_zeroshot_moral_scenarios; mmlu_flan_cot_zeroshot_clinical_knowledge; mmlu_flan_cot_zeroshot_college_medicine; mmlu_flan_cot_zeroshot_jurisprudence; mmlu_flan_cot_zeroshot_college_physics; mmlu_flan_cot_zeroshot_college_biology; mmlu_flan_cot_zeroshot_astronomy; mmlu_flan_cot_zeroshot_abstract_algebra; mmlu_flan_cot_zeroshot_high_school_macroeconomics; mmlu_flan_cot_fewshot_college_computer_science; mmlu_flan_cot_fewshot_conceptual_physics; mmlu_flan_cot_fewshot_high_school_us_history; mmlu_public_relations_generative; mmlu_continuation_high_school_world_history; mmlu_high_school_biology_generative; mmlu_high_school_physics_generative; mmlu_human_sexuality_generative; mmlu_professional_medicine_generative; mmlu_business_ethics_generative; mmlu_electrical_engineering_generative; mmlu_anatomy_generative; mmlu_logical_fallacies_generative; mmlu_professional_accounting_generative; mmlu_high_school_european_history_generative; mmlu_security_studies_generative; mmlu_high_school_computer_science_generative; mmlu_flan_cot_fewshot_human_aging; mmlu_continuation_virology; mmlu_formal_logic_generative; mmlu_global_facts_generative; mmlu_medical_genetics_generative; mmlu_moral_scenarios_generative; mmlu_clinical_knowledge_generative; mmlu_college_medicine_generative; mmlu_jurisprudence_generative; mmlu_marketing_generative; mmlu_college_physics_generative; mmlu_philosophy_generative; mmlu_us_foreign_policy_generative; mmlu_professional_psychology_generative; mmlu_machine_learning_generative; mmlu_flan_n_shot_loglikelihood_nutrition; mmlu_flan_n_shot_generative_high_school_physics; mmlu_college_mathematics_generative; mmlu_flan_n_shot_generative_world_religions; mmlu_continuation_high_school_european_history; mmlu_continuation_professional_accounting; mmlu_continuation_logical_fallacies; mmlu_continuation_anatomy; mmlu_continuation_electrical_engineering; mmlu_continuation_business_ethics; mmlu_flan_n_shot_generative_college_medicine; mmlu_flan_n_shot_generative_jurisprudence; mmlu_flan_n_shot_generative_college_physics; mmlu_flan_n_shot_generative_public_relations; mmlu_flan_n_shot_generative_high_school_computer_science; mmlu_flan_n_shot_generative_security_studies; mmlu_flan_n_shot_generative_high_school_european_history; mmlu_flan_n_shot_generative_virology; mmlu_flan_n_shot_generative_professional_accounting; mmlu_flan_n_shot_generative_professional_law; mmlu_flan_n_shot_generative_us_foreign_policy; mmlu_flan_n_shot_generative_nutrition; mmlu_flan_n_shot_generative_philosophy; mmlu_flan_n_shot_generative_marketing; mmlu_flan_n_shot_generative_astronomy; mmlu_flan_n_shot_generative_high_school_biology; mmlu_flan_n_shot_generative_human_sexuality; mmlu_flan_n_shot_generative_professional_medicine; mmlu_flan_n_shot_generative_business_ethics; mmlu_flan_n_shot_generative_electrical_engineering; mmlu_flan_n_shot_generative_anatomy; mmlu_flan_n_shot_generative_logical_fallacies; mmlu_high_school_chemistry_generative; mmlu_high_school_geography_generative; mmlu_flan_n_shot_generative_moral_scenarios; mmlu_continuation_high_school_psychology; mmlu_flan_n_shot_loglikelihood_elementary_mathematics; mmlu_flan_n_shot_loglikelihood_public_relations; mmlu_flan_n_shot_loglikelihood_high_school_computer_science; mmlu_flan_n_shot_loglikelihood_security_studies; mmlu_continuation_high_school_us_history; mmlu_astronomy_generative; mmlu_continuation_human_aging; mmlu_flan_n_shot_loglikelihood_medical_genetics; mmlu_continuation_miscellaneous; mmlu_flan_n_shot_loglikelihood_college_physics; mmlu_continuation_management; mmlu_continuation_college_mathematics; mmlu_continuation_high_school_government_and_politics; mmlu_continuation_professional_psychology; mmlu_flan_n_shot_loglikelihood_global_facts; mmlu_continuation_high_school_statistics; mmlu_continuation_college_chemistry; mmlu_continuation_prehistory; mmlu_continuation_sociology; mmlu_continuation_high_school_geography; mmlu_continuation_computer_security; mmlu_continuation_econometrics; mmlu_continuation_moral_disputes; mmlu_continuation_high_school_mathematics; mmlu_continuation_high_school_microeconomics; mmlu_high_school_macroeconomics_generative; mmlu_continuation_high_school_chemistry; mmlu_continuation_machine_learning; mmlu_flan_n_shot_loglikelihood_formal_logic; mmlu_flan_n_shot_loglikelihood_moral_scenarios; mmlu_moral_disputes_generative; mmlu_virology_generative; mmlu_high_school_mathematics_generative; mmlu_high_school_microeconomics_generative; mmlu_computer_security_generative; mmlu_miscellaneous_generative; mmlu_conceptual_physics_generative; mmlu_college_computer_science_generative; mmlu_continuation_world_religions; mmlu_high_school_us_history_generative; mmlu_human_aging_generative; mmlu_high_school_psychology_generative; mmlu_high_school_government_and_politics_generative; mmlu_high_school_world_history_generative; mmlu_world_religions_generative; mmlu_professional_law_generative; mmlu_continuation_conceptual_physics; mmlu_nutrition_generative; mmlu_college_biology_generative; mmlu_international_law_generative; mmlu_abstract_algebra_generative; mmlu_continuation_college_computer_science; mmlu_continuation_international_law; mmlu_flan_n_shot_loglikelihood_high_school_macroeconomics; mmlu_flan_n_shot_loglikelihood_abstract_algebra; mmlu_flan_n_shot_loglikelihood_astronomy; mmlu_flan_n_shot_loglikelihood_college_biology; mmlu_flan_n_shot_loglikelihood_jurisprudence; mmlu_flan_n_shot_loglikelihood_college_medicine; mmlu_flan_n_shot_loglikelihood_clinical_knowledge; mmlu_flan_n_shot_generative_clinical_knowledge; mmlu_elementary_mathematics_generative; mmlu_flan_n_shot_generative_medical_genetics; mmlu_college_chemistry_generative; mmlu_continuation_philosophy; mmlu_continuation_nutrition; mmlu_flan_n_shot_loglikelihood_professional_psychology; mmlu_flan_n_shot_loglikelihood_us_foreign_policy; mmlu_flan_n_shot_loglikelihood_philosophy; mmlu_flan_n_shot_loglikelihood_world_religions; mmlu_flan_n_shot_loglikelihood_marketing; mmlu_flan_n_shot_loglikelihood_high_school_biology; mmlu_flan_n_shot_loglikelihood_high_school_physics; mmlu_flan_n_shot_loglikelihood_human_sexuality; mmlu_flan_n_shot_loglikelihood_professional_medicine; mmlu_flan_n_shot_loglikelihood_business_ethics; mmlu_flan_n_shot_loglikelihood_electrical_engineering; mmlu_flan_n_shot_loglikelihood_anatomy; mmlu_flan_n_shot_loglikelihood_logical_fallacies; mmlu_flan_n_shot_loglikelihood_professional_accounting; mmlu_flan_n_shot_loglikelihood_high_school_european_history; mmlu_continuation_us_foreign_policy; mmlu_flan_n_shot_loglikelihood_professional_law; mmlu_flan_cot_fewshot_high_school_psychology; mmlu_management_generative; mmlu_sociology_generative; mmlu_flan_cot_zeroshot_formal_logic; mmlu_high_school_statistics_generative; mmlu_continuation_professional_medicine; mmlu_flan_n_shot_generative_abstract_algebra; mmlu_continuation_human_sexuality; mmlu_flan_n_shot_generative_high_school_macroeconomics; mmlu_flan_n_shot_generative_global_facts; mmlu_flan_n_shot_loglikelihood_econometrics; mmlu_flan_n_shot_loglikelihood_management; mmlu_flan_n_shot_loglikelihood_sociology; mmlu_continuation_high_school_physics; mmlu_continuation_high_school_biology; mmlu_flan_n_shot_loglikelihood_college_chemistry; mmlu_flan_n_shot_loglikelihood_high_school_statistics; mmlu_continuation_marketing; mmlu_flan_n_shot_loglikelihood_virology; mmlu_flan_n_shot_loglikelihood_prehistory; mmlu_flan_n_shot_loglikelihood_high_school_world_history; mmlu_continuation_moral_scenarios; mmlu_flan_n_shot_generative_college_computer_science; mmlu_flan_n_shot_generative_international_law; mmlu_flan_n_shot_generative_college_chemistry; mmlu_flan_n_shot_generative_human_aging; mmlu_flan_n_shot_generative_sociology; mmlu_flan_n_shot_generative_econometrics; mmlu_continuation_abstract_algebra; mmlu_continuation_astronomy; mmlu_continuation_college_biology; mmlu_continuation_college_physics; mmlu_continuation_jurisprudence; mmlu_continuation_college_medicine; mmlu_continuation_clinical_knowledge; mmlu_continuation_medical_genetics; mmlu_flan_n_shot_generative_miscellaneous; mmlu_continuation_global_facts; mmlu_continuation_formal_logic; mmlu_continuation_elementary_mathematics; mmlu_continuation_public_relations; mmlu_continuation_high_school_computer_science; mmlu_continuation_security_studies; mmlu_flan_n_shot_generative_management; mmlu_flan_n_shot_generative_high_school_psychology; mmlu_flan_n_shot_generative_high_school_government_and_politics; mmlu_flan_n_shot_generative_high_school_world_history; mmlu_flan_n_shot_generative_elementary_mathematics; mmlu_flan_n_shot_generative_formal_logic; mmlu_flan_n_shot_loglikelihood_machine_learning; mmlu_flan_n_shot_generative_conceptual_physics; mmlu_flan_n_shot_generative_high_school_us_history; mmlu_flan_n_shot_generative_computer_security; mmlu_flan_n_shot_loglikelihood_high_school_psychology; mmlu_flan_n_shot_loglikelihood_high_school_chemistry; mmlu_flan_n_shot_loglikelihood_college_mathematics; mmlu_flan_n_shot_loglikelihood_high_school_geography; mmlu_flan_n_shot_loglikelihood_moral_disputes; mmlu_flan_n_shot_loglikelihood_high_school_mathematics; mmlu_flan_n_shot_loglikelihood_high_school_microeconomics; mmlu_flan_n_shot_loglikelihood_computer_security; mmlu_flan_n_shot_loglikelihood_conceptual_physics; mmlu_flan_n_shot_loglikelihood_college_computer_science; mmlu_flan_n_shot_generative_high_school_microeconomics; mmlu_flan_n_shot_loglikelihood_high_school_us_history; mmlu_flan_n_shot_loglikelihood_human_aging; mmlu_flan_n_shot_loglikelihood_international_law; mmlu_flan_n_shot_loglikelihood_high_school_government_and_politics; mmlu_flan_n_shot_generative_machine_learning; mmlu_flan_n_shot_generative_high_school_mathematics; mmlu_flan_n_shot_loglikelihood_miscellaneous; mmlu_flan_n_shot_generative_high_school_geography; mmlu_flan_n_shot_generative_college_mathematics; mmlu_flan_n_shot_generative_high_school_chemistry; mmlu_flan_n_shot_generative_moral_disputes; mmlu_flan_n_shot_generative_professional_psychology; mmlu_flan_n_shot_generative_high_school_statistics; mmlu_flan_n_shot_generative_college_biology; mmlu_continuation_professional_law
facebook/belebele,11056,123,belebele_ckb_Arab; belebele_hrv_Latn; belebele_nya_Latn; belebele_eus_Latn; belebele_bod_Tibt; belebele_hye_Armn; belebele_mya_Mymr; belebele_lao_Laoo; belebele_uzn_Latn; belebele_srp_Cyrl; belebele_sun_Latn; belebele_zsm_Latn; belebele_nob_Latn; belebele_rus_Cyrl; belebele_lvs_Latn; belebele_khm_Khmr; belebele_als_Latn; belebele_ben_Beng; belebele_ben_Latn; belebele_ita_Latn; belebele_kea_Latn; belebele_por_Latn; belebele_jav_Latn; belebele_afr_Latn; belebele_ilo_Latn; belebele_sot_Latn; belebele_tsn_Latn; belebele_tir_Ethi; belebele_ars_Arab; belebele_guj_Gujr; belebele_mal_Mlym; belebele_asm_Beng; belebele_fra_Latn; belebele_zho_Hans; belebele_spa_Latn; belebele_deu_Latn; belebele_kaz_Cyrl; belebele_hau_Latn; belebele_bul_Cyrl; belebele_arb_Arab; belebele_ron_Latn; belebele_kir_Cyrl; belebele_ces_Latn; belebele_ory_Orya; belebele_tam_Taml; belebele_som_Latn; belebele_mlt_Latn; belebele_est_Latn; belebele_nso_Latn; belebele_war_Latn; belebele_slk_Latn; belebele_apc_Arab; belebele_tha_Thai; belebele_ell_Grek; belebele_npi_Deva; belebele_fin_Latn; belebele_kac_Latn; belebele_glg_Latn; belebele_ary_Arab; belebele_shn_Mymr; belebele_arb_Latn; belebele_hin_Deva; belebele_pol_Latn; belebele_slv_Latn; belebele_azj_Latn; belebele_sin_Sinh; belebele_tso_Latn; belebele_isl_Latn; belebele_swh_Latn; belebele_ind_Latn; belebele_fuv_Latn; belebele_hat_Latn; belebele_xho_Latn; belebele_swe_Latn; belebele_pbt_Arab; belebele_urd_Latn; belebele_vie_Latn; belebele_tur_Latn; belebele_yor_Latn; belebele_luo_Latn; belebele_heb_Hebr; belebele_kor_Hang; belebele_ceb_Latn; belebele_gaz_Latn; belebele_tgk_Cyrl; belebele_hin_Latn; belebele_nld_Latn; belebele_npi_Latn; belebele_ibo_Latn; belebele_mar_Deva; belebele_pan_Guru; belebele_eng_Latn; belebele_pes_Arab; belebele_mkd_Cyrl; belebele_tgl_Latn; belebele_amh_Ethi; belebele_jpn_Jpan; belebele_zul_Latn; belebele_ukr_Cyrl; belebele_kin_Latn; belebele_cat_Latn; belebele_tel_Telu; belebele_snd_Arab; belebele_kat_Geor; belebele_urd_Arab; belebele_khk_Cyrl; belebele_lit_Latn; belebele_sna_Latn; belebele_mri_Latn; belebele_grn_Latn; belebele_lug_Latn; belebele_sin_Latn; belebele_plt_Latn; belebele_zho_Hant; belebele_wol_Latn; belebele_ssw_Latn; belebele_lin_Latn; belebele_hun_Latn; belebele_dan_Latn; belebele_kan_Knda; belebele_acm_Arab; belebele_bam_Latn; belebele_arz_Arab
ceval/ceval-exam,13399,52,ceval-valid_college_physics; ceval-valid_advanced_mathematics; ceval-valid_ideological_and_moral_cultivation; ceval-valid_college_programming; ceval-valid_marxism; ceval-valid_fire_engineer; ceval-valid_probability_and_statistics; ceval-valid_law; ceval-valid_middle_school_history; ceval-valid_physician; ceval-valid_high_school_history; ceval-valid_tax_accountant; ceval-valid_middle_school_physics; ceval-valid_discrete_mathematics; ceval-valid_civil_servant; ceval-valid_urban_and_rural_planner; ceval-valid_middle_school_mathematics; ceval-valid_logic; ceval-valid_teacher_qualification; ceval-valid_high_school_geography; ceval-valid_computer_architecture; ceval-valid_college_chemistry; ceval-valid_high_school_chemistry; ceval-valid_middle_school_biology; ceval-valid_sports_science; ceval-valid_college_economics; ceval-valid_plant_protection; ceval-valid_clinical_medicine; ceval-valid_education_science; ceval-valid_computer_network; ceval-valid_middle_school_chemistry; ceval-valid_professional_tour_guide; ceval-valid_middle_school_geography; ceval-valid_art_studies; ceval-valid_chinese_language_and_literature; ceval-valid_middle_school_politics; ceval-valid_modern_chinese_history; ceval-valid_metrology_engineer; ceval-valid_electrical_engineer; ceval-valid_high_school_mathematics; ceval-valid_environmental_impact_assessment_engineer; ceval-valid_accountant; ceval-valid_legal_professional; ceval-valid_high_school_politics; ceval-valid_high_school_physics; ceval-valid_veterinary_medicine; ceval-valid_mao_zedong_thought; ceval-valid_high_school_chinese; ceval-valid_basic_medicine; ceval-valid_high_school_biology; ceval-valid_operating_system; ceval-valid_business_administration
HAERAE-HUB/KMMLU,12879,45,kmmlu_direct_ecology; kmmlu_direct_fashion; kmmlu_direct_nondestructive_testing; kmmlu_direct_economics; kmmlu_direct_industrial_engineer; kmmlu_direct_agricultural_sciences; kmmlu_direct_chemistry; kmmlu_direct_public_safety; kmmlu_direct_social_welfare; kmmlu_direct_aviation_engineering_and_maintenance; kmmlu_direct_geomatics; kmmlu_direct_political_science_and_sociology; kmmlu_direct_machine_design_and_manufacturing; kmmlu_direct_energy_management; kmmlu_direct_math; kmmlu_direct_electronics_engineering; kmmlu_direct_patent; kmmlu_direct_telecommunications_and_wireless_technology; kmmlu_direct_computer_science; kmmlu_direct_gas_technology_and_engineering; kmmlu_direct_accounting; kmmlu_direct_law; kmmlu_direct_interior_architecture_and_design; kmmlu_direct_marketing; kmmlu_direct_information_technology; kmmlu_direct_construction; kmmlu_direct_electrical_engineering; kmmlu_direct_maritime_engineering; kmmlu_direct_railway_and_automotive_engineering; kmmlu_direct_biology; kmmlu_direct_chemical_engineering; kmmlu_direct_education; kmmlu_direct_materials_engineering; kmmlu_direct_health; kmmlu_direct_civil_engineering; kmmlu_direct_criminal_law; kmmlu_direct_psychology; kmmlu_direct_food_processing; kmmlu_direct_mechanical_engineering; kmmlu_direct_environmental_science; kmmlu_direct_management; kmmlu_direct_korean_history; kmmlu_direct_taxation; kmmlu_direct_real_estate; kmmlu_direct_refrigerating_machinery
TIGER-Lab/MMLU-Pro,50447,32,mmlu_pro_llama_other; mmlu_pro_llama_health; mmlu_pro_llama_engineering; mmlu_pro_llama_philosophy; mmlu_pro_llama_law; mmlu_pro_llama_computer_science; mmlu_pro_llama_biology; mmlu_pro_llama_physics; mmlu_pro_llama_history; mmlu_pro_psychology; mmlu_pro_llama_chemistry; mmlu_pro_llama_math; mmlu_pro_law; mmlu_pro_llama_economics; mmlu_pro_philosophy; mmlu_pro_engineering; mmlu_pro_llama_psychology; mmlu_pro_other; mmlu_pro_business; mmlu_pro_physics; mmlu_pro_llama_business; leaderboard_mmlu_pro; mmlu_pro_computer_science; score_prompt_robustness_mmlu_pro; score_option_order_robustness_mmlu_pro; score_non_greedy_robustness_mmlu_pro; mmlu_pro_biology; mmlu_pro_health; mmlu_pro_history; mmlu_pro_chemistry; mmlu_pro_math; mmlu_pro_economics
MMMU/MMMU,28760,30,mmmu_val_public_health; mmmu_val_agriculture; mmmu_val_marketing; mmmu_val_economics; mmmu_val_literature; mmmu_val_psychology; mmmu_val_design; mmmu_val_architecture_and_engineering; mmmu_val_pharmacy; mmmu_val_biology; mmmu_val_physics; mmmu_val_energy_and_power; mmmu_val_music; mmmu_val_art; mmmu_val_math; mmmu_val_computer_science; mmmu_val_manage; mmmu_val_mechanical_engineering; mmmu_val_geography; mmmu_val_chemistry; mmmu_val_electronics; mmmu_val_finance; mmmu_val_materials; mmmu_val_art_theory; mmmu_val_accounting; mmmu_val_clinical_medicine; mmmu_val_basic_medical_science; mmmu_val_sociology; mmmu_val_diagnostics_and_laboratory_medicine; mmmu_val_history
EleutherAI/hendrycks_math,26854,28,hendrycks_math_geometry; prompt_robustness_math_intermediate_algebra; non_greedy_robustness_math_counting_and_prob; hendrycks_math_precalc; hendrycks_math_prealgebra; hendrycks_math_num_theory; hendrycks_math_algebra; prompt_robustness_math_num_theory; non_greedy_robustness_math_precalc; hendrycks_math_intermediate_algebra; minerva_math_precalc; hendrycks_math_counting_and_prob; non_greedy_robustness_math_intermediate_algebra; minerva_math_prealgebra; non_greedy_robustness_math_algebra; prompt_robustness_math_prealgebra; minerva_math_num_theory; minerva_math_geometry; prompt_robustness_math_precalc; prompt_robustness_math_geometry; minerva_math_intermediate_algebra; non_greedy_robustness_math_prealgebra; non_greedy_robustness_math_geometry; minerva_math_algebra; minerva_math_counting_and_prob; non_greedy_robustness_math_num_theory; prompt_robustness_math_algebra; prompt_robustness_math_counting_and_prob
xnli,42975,22,xnli_tr; xnli_th; xnli_es_spanish_bench; xnli_zh; french_bench_xnli; xnli_ca; xnli_eu_native; xnli_eu; xnli_ar; xnli_ru; xnli_eu_mt; xnli_ur; xnli_vi; xnli_bg; xnli_es; xnli_sw; xnli_en; xnli_el; xnli_hi; xnli_gl; xnli_fr; xnli_de
Idavidrein/gpqa,45154,18,gpqa_diamond_zeroshot; gpqa_main_n_shot; leaderboard_gpqa_diamond; leaderboard_gpqa_extended; gpqa_diamond_n_shot; gpqa_extended_zeroshot; gpqa_main_generative_n_shot; gpqa_main_zeroshot; gpqa_diamond_cot_n_shot; gpqa_extended_cot_n_shot; gpqa_extended_cot_zeroshot; gpqa_diamond_cot_zeroshot; gpqa_main_cot_zeroshot; gpqa_diamond_generative_n_shot; gpqa_extended_generative_n_shot; leaderboard_gpqa_main; gpqa_extended_n_shot; gpqa_main_cot_n_shot
super_glue,129138,17,super_glue-copa-t5-prompt; wic; sglue_rte; super_glue-rte-t5-prompt; boolq; boolq-seq2seq; record; copa; super_glue-wic-t5-prompt; multirc; super_glue-multirc-t5-prompt; super_glue-record-t5-prompt; wsc; super_glue-wsc-t5-prompt; super_glue-cb-t5-prompt; super_glue-boolq-t5-prompt; cb
